,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
15358,30970,Are you there?,Are you there?,Are you there?,Are you there?,Are you there? | Are you there? | Are you there? | Are you there?,Are you there?,Are you there?,Are you there? Are you there? Is it there? Are you there? Are you there? Is it there?,| Are you there?,Are you there?,Are you there? | Are you there?,Are you?,Will you be there?,Are you there? Are you there?
15690,31334,Time is up.,It's time.,The time is up.,Time is up.,Time has passed. | Time has passed.,The time is up.,Your time is up. | Your time is up. | Time is up.,Time is up. | Time is up. | There is no more time.,"It's over. | Time is over. | Yes, that's it.",Time has passed.,Time has passed. | Time has passed.,The time has run out.,Time has run out.,Time is running out. | Time is running out.
15703,31348,We have no time.,We don't have time.,We don't have time.,We do not have time.,We do not have the time.,We have no time.,We don't have leisure.,We don't have time.,We don't have time anymore. | We don't have time.,We don't have time.,We don't have time.,We do not have time.,We have no time.,We don't have time. | We don't have time.
15728,31380,I have to leave now.,I should go.,I have to go now.,I must go now. | Now I must go. | I must go now. | I must go now. | I must go now.,I must go now. | I must leave now. | I must go now. | I must go now.,I have to go now. | I have to go now. | I have to go now.,I gotta go now. | I gotta go now. | I gotta go now. | I gotta go now. | I gotta go now. | I gotta go now.,I have to start now. | I have to start now.,I have to go no more. | I have to go no more. | I have to be rude. | I have to go no more. | I have to be polite.,I have to go. | I have to go.,It's time for me to go. | I have to leave now. | I have to leave now.,Now I must go. | Now I must go. | Now I must go. | Now I must go. | Now I must go. | Now I must go.,I should go now.,I've got to go. | I've got to go.
15737,31390,"No, thank you.","No, thank you.","No, thanks. | No, thank you.",No thank you.,"No, thank you.","No, thank you.","No, thank you.","No, thank you.","No, it's okay. | It's okay.","No, thank you.","No, thank you.","No, thank you.","No, thank you.","No, thank you."
15814,31476,"Could you repeat that, please?",Could you please repeat it?,"Can you repeat that? | Can you repeat that, please?",Could you repeat that?,"Can you repeat that, please?",Could you please repeat that? | Could you please repeat that? | Could you please repeat that? | Could you please repeat that? | Could you please repeat that?,"Would you mind repeating that, please?","Can you repeat that, please? | Can you repeat that, please?",Can you say it again?,Please repeat. | Could you repeat it?,"Can't you repeat it please? | Sorry, can't you repeat it? | Sorry, can't you repeat it?","Can you repeat it, please? | Please, can you repeat it?",Could you please repeat that again?,Could you please repeat that? | Could you please repeat that? | Could you please repeat that?
15855,31522,Please show me another one.,Please show me another one.,Can you show me another one?,Could you show somebody else? | Could you show somebody else?,Please show me another. Please show me another. Please show me another. Please show me another. Please show me another. Please show me another. Please show me another.,Please show me another one. | Please show me another one.,"Show me another one, please.","Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another. | Please, show me another.",Please show me something else. | Please show me something else. | Please show me something else. | Please show me something else.,Please show me another.,"Please show me another. | Show me another, please. | Show me another, please. | Show me another, please. | Show me another, please. | Show me another, please. | Show me another, please. | Show me another, please. | Show me another, please. | Show me another, please. | Show me another, please. | Show me another, please. | Show me another, please.",Please send me another. | Please move me another.,Please show me another one.,Please show me another one. | Please show me another one.
16000,31683,It's already seven.,It's seven o'clock now.,It's been seven hours. | It's been seven hours.,It is already seven o'clock.,It is already 7 o'clock.,It is already 7 o'clock.,It's seven o'clock. | Seven o'clock already.,It's already seven o'clock.,it's already seven. | it's already seven.,There is already 7.,Already seven.,There are already seven.,It is already 7:00 p.m.,It's already seven o'clock. | It's already seven o'clock.
16038,31723,Try again.,try again try again.,Try it again. | Try it again.,Try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again. | try again.,Try again. | Try again. | Try again.,Try it again. | Try it again. | Try it again.,Try again. | Try again.,Try again. | Try again. | Try again. | Try again. | Try again. | Try again.,try again. | try again. | try again.,Try again.,Try again. | Try again.,Treat it again. | Try it again. | Try it again. | Try it again. | Try it again.,Try again.,Try again. | Try again. | Try again. | Try again! | Try again.
16201,31892,Mary is tall.,Mary is very tall.,Maria is big.,Mari is long.,Marie is big.,Mary is big.,Mary is high. | Mary is high.,Mary is tall. | Mary is tall.,Mary is tall.,Mary is tall.,Mary is high. | Mary is high.,Mary is tall.,Mary is tall.,Mary is tall.
16209,31900,Mary understands Chinese.,Mary understands Chinese.,Maria can speak Chinese.,Mari understands China.,Marie understands Chinese.,Mary understands Chinese.,Mary understands Chinese.,Mary understands Chinese.,Mary understands Chinese | Mary understands Chinese.,Mary understands Chinese.,She speaks Chinese.,Maria understands Chinese. | Maria understands Chinese.,Mary remembers Chince.,Mary understands Chinese.
16216,31907,Mary ran.,Mary ran away.,Maria was running. | Maria was running.,Mari was deceived.,Marie died.,Mary ran. | Mary ran.,Mary was running.,Mary ran. | Mary ran.,Mary ran away.,Mary ran.,Mary fled.,Mary ran.,Mary ran.,Mary was running.
16371,32071,You're disgusting!,You're sick of it!,You're disgusting! | What are you disgusting!,You must suffer!,Don't be fooled!,You are disgusting!,You're ugly! | You're mad! | You make me mad! | You make me mad!,You're disgusting! | You're disgusting! | You're disgusting! | You're disgusting! | You're disgusting! | You're disgusting! | You're disgusting! | You're disgusting! | It's disgusting! | She's disgusting! | It's disgusting! | She's disgusting!,it's the worst! | it's stupid! | it's creepy!,You are ugly!,You are disgusting!,You're repugnant! | You're thirsty!,Damn it!,You're ugly! | You're ugly! | You're ugly! | You're ugly! | You're ugly!
16803,32527,I agree completely.,I totally agree.,I totally agree. | I totally agree. | I totally agree.,I fully agree. | I fully agree.,I totally agree. | I totally agree!,I fully agree.,I totally agree! | I totally agree.,I totally agree.,i'm totally sympathetic.,I totally agree.,I fully agree. | I fully agree. | Absolutely agree.,I fully agree.,I fully agree.,I totally agree.
16844,32569,I don't know yet.,I don't know yet.,I don't know yet.,I do not know yet. | I will not be late.,I do not know yet.,I do not know yet.,I don't know yet.,I don't know yet. | I don't know yet.,I don't know yet.,I don't know yet.,I don't know. | I don't know yet. | I don't know yet.,I still don't know. | I still don't know.,I still don't know. | I still don't know.,I don't know yet.
16903,32635,See you again.,Goodbye!,Goodbye! | Bye. | Bye!,Let us see! | Let us see! | Let us see again. | Let us see again.,Goodbye! | More.,See you again! | See you again!,Goodbye. | Goodbye again.,See you there.,Let's meet again. | Let's meet again. | Goodbye. | Let's meet again. | Come on. | Let's meet again.,See you again.,See you later.,See you next time. | See you later.,We'll talk again. | We'll talk again.,See you later. | See you!
16937,32672,See you soon!,See you soon!,See you soon! | See you soon! | See you soon! | See you soon!,See you soon!,As soon as possible! | As soon as possible! | As soon as possible!,Until soon!,Goodbye soon. | Goodbye soon. | Goodbye soon!,Soon!,I'll see you soon. | Goodbye. | I'll see you soon! | I'll see you soon.,See you soon.,Soon!,Come on! | Come on! | I'll see you soon.,We'll see you soon!,See you soon! | See you soon!
