,index,english,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish
15855,31522,Please show me another one.,"Show me another, please.","Please show me another. Please show me another. Please show me another. Please show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another one. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another. Please, show me another one. Please, show me another. Please, show me another. Please, show me another. Please show me another.",Please show me another one. Please show me another one.,Let me see another one.
16000,31683,It's already seven.,It's seven o'clock.,It's already 7:00.,It's already seven o'clock. It's already seven o'clock.,It's already seven.
16038,31723,Try again.,Try it again.,Try again. Try again. Try again. Try again. Try again. Try again. Try again. Try again.,Try again. Try again. Try again.,Try it again.
16201,31892,Mary is tall.,Mary is tall. Maria is tall.,Mary is tall. Mary is tall.,Mary is tall.,Mary's tall.
16209,31900,Mary understands Chinese.,Mary understands Chinese.,Mary understands Chinese.,Mary knows Chinese.,Mary understands Chinese.
16216,31907,Mary ran.,Mary wanted to.,Mary ran. Mary ran.,Mary ran.,Mary was running.
16371,32071,You're disgusting!,You're disgusting! You make me sick! You make me sick!,You're disgusting! You're disgusting! You're disgusting! You're disgusting! You're disgusting! You're disgusting! You're disgusting! You're disgusting! You're disgusting! You're disgusting! You're disgusting!,It's disgusting!,You're disgusting!
16803,32527,I agree completely.,I couldn't agree more.,I completely agree.,I totally agree with you.,I totally agree.
16844,32569,I don't know yet.,I don't know yet.,I don't know yet. I don't know yet.,I don't know yet.,I don't know yet.
16903,32635,See you again.,Good-bye. See you again.,Goodbye.,I'll see you soon.,See you again.
16937,32672,See you soon!,See you soon. See you soon. See you soon!,See you soon!,I'll see you soon.,I'll see you soon.
17093,32841,A friend in need is a friend indeed.,"A friend in need is a true friend, a true friend in need, a true friend in need.",I'm sure the friend knows each other in bad luck.,A friend in an emergency is a friend in a true way. A friend in an emergency is a friend in a true way.,Real friends get to know each other in poverty.
17588,33354,Take a taxi to the hotel.,Take a cab to the hotel.,Take a taxi to the hotel. Take a taxi to the hotel.,Take a taxi to the hotel.,Take a cab to the hotel.
17763,33536,I don't like coffee.,I don't like coffee.,I don't like coffee. I don't like coffee.,I don't like coffee. I don't like coffee. I don't like coffee.,I don't like coffee.
17933,33712,I feel homesick.,I miss home. I'm homesick. I'm homesick.,I'm homesick. I'm homesick.,I'm homesick.,I miss home.
17991,33771,Do you have a pen?,Do you have a pen?,"Do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen, or do you have a pen?",Do you have a pen? Do you have a pen?,Do you have a pen?
18223,34011,Do your best.,Do your best.,Do your best. Do your best. Do your best.,Do your best.,Give it your best shot.
18989,34819,It's brand new.,It's brand-new. lt's brand-new. lt's brand-new.,It's brand new. It's brand new.,It's a shiny new product.,It's brand new. It's brand new. It's brand new.
19015,34846,"Two beers, please.","Two beers, please.","Two beers, please.","Two beers, please.","Two beers, please."
19153,34991,Do you like playing volleyball?,You like playing volleyball?,Do you like to play volleyball? • Do you like to play volleyball? • Do you like to play volleyball? • Do you like to play volleyball? • Do you like to play volleyball? • Do you like to play volleyball?,Do you like playing ballet ball?,Do you like playing volleyball?
19253,35096,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?,Who's the author of Hamlet?
19520,35385,Let's take a bus.,"Let's take the bus, let's take the bus.",We'll take a bus. We'll take a bus.,Let's take the bus.,Let's take the bus.
19601,35471,Fill the bucket with water.,Fill a bucket of water.,Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water. • Fill the bucket with water.,Fill the bucket with water.,Fill the bucket with water.
19616,35489,Don't talk nonsense!,Don't be silly!,Don't be silly! Don't be silly! Don't be silly!,Don't say stupid things! Don't say stupid things!,Don't talk nonsense!
19708,35586,Here are your keys.,Here are your keys.,Here's your keys. Here's your keys. Here's his keys.,"Yes, it's your key.",Here's your keys. Here's your keys.
20167,36088,What?,What?,What's that? What's that?,What did you say? &lt;i&gt;What are you doing?&lt;/i&gt; &lt;i&gt;What are you doing? &lt;i&gt;What are you doing?&lt;/i&gt; &lt;i&gt;What are you doing? &lt;i&gt;What are you doing?&lt;/i&gt; &lt;i&gt;What are you doing? &lt;i&gt;What are you doing?&lt;/i&gt;,What?
20174,36097,How cute!,How cute!,"That's cute, that's cute, that's cute, that's cute.",It's so cute! It's so cute!,How adorable!
20359,36297,Everything is ready.,Everything's ready.,Everything's ready.,Everything is ready.,Everything's ready.
20396,36344,Why is he here?,Why is he here? Why is he here? Why is he here?,Why is he here? Why is he here?,Why is he here?,Why is he here?
20451,36405,Why are you crying?,Why are you crying? Why are you crying? Are you aware you're crying?,Why are you crying? Why are you crying? Why are you crying? Why are you crying? Why are you crying? Why are you crying?,Why are you crying? Why are you crying?,Why are you crying?
20459,36413,Why did you quit?,Why did you leave?,Why'd you quit? Why'd you quit? Why'd you quit?,Why did you quit? &lt;i&gt;Why did you quit?&lt;/i&gt;,Why did you quit?
20465,36419,Why?,Why?,Why?,Why?,Why?
21008,37011,Tom goes to school on foot.,Tom's walking to school.,Tom walks to school.,Tom walks to school. Tom goes to school on foot.,Tom walks to school.
21012,37015,Tom likes to knit.,Tom likes to knit.,Tom likes to knit.,Tom likes to knit.,Tom likes to knit.
21025,37029,Tom frowned.,Tom frowned.,Tom frowned. Tom frowned. Tom frowned. Tom frowned. Tom frowned.,Tom cut his eyebrows.,Tom wrinkled his eyebrows.
21049,37053,Tom is interested in mountaineering.,Tom's interested in mountain climbing.,Tom cares about mountaineering.,Tom is interested in climbing mountains.,Tom is interested in alpinism.
21073,37077,Tom is a student.,Tom is a student. Tom is a student. Tom is a student.,Tom is a student.,Tom is a student. Tom is a student.,Tom is a student.
21078,37083,Tom is interested in mathematics.,Tom doesn't want to take math.,Tom is interested in math.,Tom is interested in mathematics.,Tom is interested in math.
21093,37098,Tom drove the car.,Tom was driving the car.,Tom drove the car. Tom drove the car. Tom drove the car. Tom drove the car. Tom drove the car. Tom drove the car. Tom drove the car.,Tom drove the car.,Tom was driving the car.
21115,37121,Tom gave me a pen.,Tom gave me a pen.,Tom gave me a pen. Tom gave me a pen. Tom gave me a pen. Tom gave me a pen. Tom gave me a pen.,Tom gave me a pen.,Tom gave me a pen.
21156,37162,Tom is absent.,Tom's missing.,Tom is absent.,Tom is absent. Tom isn't home.,Tom is absent.
