,index,english,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
33122,49963,Open the bottle.,Open the bottle. Open the bottle.,Open the bottle.,Open the bottle.,Open the bottle.
34300,51271,I'm not at all tired.,I'm not tired at all. I'm not tired at all.,I'm not tired at all. I'm not tired at all. I'm not tired at all.,I'm not tired at all.,I'm not tired at all.
34363,51340,I have a cough.,I'm coughing. I'm coughing.,I have a cough.,I'm coughing.,I have a cough.
34690,51692,"All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses. All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses."
35005,52022,Terrific!,Nice! ♪ Genius. ♪ Super! ♪ Get your heads off! ♪ Funny! ♪,That's great! What a father!,Awesome!,That's great!?..that's great!....
35010,52027,Wow!,"Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa!",WOW! WOW! WOW! WOW!,Wow!,"Oh, wow!"
35060,52081,I'm coming.,I'm coming. I'm coming. I'm coming.,I'm coming. I'm coming.,I'm coming. I'm coming.,I'm leaving.
36366,53465,Study hard.,Learn hard.,He's studying hard.,Work hard.,Study diligently.
37073,54201,Here comes the bus.,There's the bus.,Here comes the bus.,Here comes the bus!,Here comes the bus.
37093,54223,Come along.,Come with us.,"Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",Come with us.,Come with me.
37187,54331,Ladies first.,Ladies first.,Ladies first.,Ladies first.,Ladies first.
37308,54468,I wish you good luck.,Good luck. ♪ Good luck to you. ♪ Good luck to you. ♪ Good luck to you. ♪ Good luck to you. ♪ Good luck to you. ♪ Good luck to you ♪,I wish you good luck. I wish you luck. I wish you luck.,I wish you good luck.,I wish you good luck.
37430,54604,"Hello, Tom.","Hey, Tom.","Hello, Tom. Hello, Tom!","Hello, Tom. Hello, Tom.","Hi, Tom. (Laughter) Hello, Tom. (Applause)"
37679,54868,It's true.,It's true. It's true.,It's true. It's true.,Yes. ▪ That's true.,That's true.
37886,55087,Whose books are these?,Whose books are these?,Whose books are these?,Whose books are these?,Whose books are these?
38220,55437,This is their house.,It's their house.,This is your house.,This is their home.,This is their house.
38293,55514,Whose room is this?,Whose room is this?,Whose room is this?,Whose room is this?,Whose room is this?
38298,55519,Whose umbrella is this?,Whose umbrella is this? Whose umbrella is this? Whose umbrella is this?,Whose umbrella is that?,Whose umbrella is this?,Whose umbrella is this?
38300,55521,Whose pencil is this?,Whose pencil is this?,Whose pencil is this?,Whose pen is this?,Whose pencil is this?
38312,55535,This is too big.,It's too big.,This is too big.,It's too big.,It's too big.
38503,55738,This is a dog.,It's a dog.,This is a dog. That's a dog.,It's a dog.,This is a dog..... This is a dog.
38513,55749,Is this your bicycle?,Is that your bike? Is that your bike? Is that your bike?,Is this your bike? Is this your bike?,Is that your bike?,Is this your bike?
38528,55767,I don't like this.,I don't like it.,I don't like this.,I don't like this.,I don't like it.
38732,55984,Is this your umbrella?,Is that your umbrella?,Is this your umbrella?,Is this your umbrella?,Is this your umbrella?
39336,56634,What do you call this vegetable in English?,What is this vegetable called in English? What do you call this vegetable in English?,What is the name of this vegetable in English?  How do you tell this vegetable in English?,How about this vegetable in English?,What's this vegetable called in English?
39580,56910,This book is new.,This book is new.,This book is new.,This book is new.,This book is new.
40569,57974,I don't understand this word.,I don't understand the word. I don't understand the word. I don't understand the word.,I don't understand this word.,I don't understand that word. I don't understand that word.,I don't understand that word.
41714,59199,Don't throw away this magazine.,Don't throw away this magazine. ♪ Don't throw away this magazine.,Don't throw this magazine at me.,Don't throw away this magazine.,Don't throw away this magazine.
42988,60560,This program cannot be run in DOS mode.,This program cannot be run in DOS mode.,This program cannot be run in DOS mode.,This program cannot be run in DOS mode.,This program cannot be run in DOS mode.
43098,60676,Does this bus go to the beach?,Is this bus going to the beach?,Is this bus going to the beach?,Does this bus go to the beach?,This bus goes to the beach?
43174,60758,The knife is not sharp.,The knife isn't sharp. ♪ The knife is dumb.,The knife is not sharp. The knife is not sharp.,The knife is not sharp.,The knife is not sharp.
43864,61484,This is my daughter.,This is my daughter.,This is my daughter.,This is my daughter. This is my daughter.,This is my daughter.
43988,61614,This is a hospital.,Here's the hospital. It's the hospital.,This is a hospital.,This is a hospital.,This is a hospital.
44219,61875,Please wait here.,Please wait here. Please wait here. Please wait here.,"Wait here, please.",Please wait here.,Please wait here.
44415,62110,Where is the nearest subway station?,Where's the nearest subway station? Where's the nearest subway station?,Where is the nearest metro station?  Where is the nearest metro station?  Where is the nearest metro station?  Where is the nearest subway station?  Where is the nearest subway station?  Where is the nearest metro station?,Where's the nearest subway station?,Where is the nearest metro station?... Where is the nearest metro station?
44885,62608,Nobody was injured.,No one was injured.,No one was hurt. No one was hurt.,No one was hurt.,No one was hurt.
45368,63119,Today is Sunday.,It's Sunday. ♪ This day is Sunday.,Today is Sunday.  This day is Sunday.,It's Sunday.,This day is Sunday.
45458,63212,Do you believe in ghosts?,Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts?,Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts?,Do you believe in ghosts?,Do you believe in ghosts?
45461,63215,You make me happy.,You make me happy. ♪ You make me happy. ♪ You make me happy. ♪ You make me happy. ♪ You make me happy. ♪ You make me happy. ♪ You make me happy.,You make me happy.,You make me happy.,You make me happy.
45464,63218,You look tired.,You look tired. You look tired. You look tired. You look tired. You look tired.,You look tired. You look tired. You look tired. You look tired.,You look tired.,You look tired. &gt;&gt; You look tired. &gt;&gt; You look tired. &gt;&gt; You look tired. &gt;&gt; You look tired. &gt;&gt; You look tired. &gt;&gt;
45531,63296,I caught three fish yesterday.,I caught three fish yesterday.,I caught three fish yesterday. I caught three fish yesterday.,I caught three fish yesterday.,I caught three fish yesterday.
45558,63324,A fox is a wild animal.,The fox is a wild animal.,The fox is a wild animal.,The fox is a wild animal.,The fox is a wild animal.
45836,63615,It's pretty cold.,It's pretty cold.,It's pretty cold.,It's pretty cold. It's very cold.,It's pretty cool now.
45851,63631,Canada is larger than Japan.,"Canada is bigger than Japan, Canada is bigger than Japan.",Canada is bigger than Japan.,Canada is bigger than Japan.,Canada is larger than Japan.
46147,63957,Is your mother at home?,Is your mother home?,Is your mother home?,Is your mom home?,Is your mother home?
46407,64241,Your dog is very big.,Your dog is very big. Your dog is very large. Your dog is very large. Your dog is very large.,Your dog is very big. Your dog is very big.,Your dog is too big. Your dog is too big.,Your dog is very big.
46423,64257,Take care of yourself.,Keep an eye on yourself.,Take care of yourself. Take care of yourself.,Take care of yourself. Take care of yourself.,Take care of yourself.
46488,64332,You are drunk!,You're drunk! You're drunk! You're drunk! You're drunk! You're drunk!,You're drunk!,You're drunk!,You're drunk!
46621,64491,Behave yourself.,Be good. ♪ Be good. ♪ Be good. ♪ Be good. ♪ Be good. ♪ Be good.,Behave yourself.,Behave yourself.,Behave yourself.
46626,64496,Watch yourself.,Keep an eye on yourself.,Be careful.,Take care of yourself.,Take care of yourself.
46634,64505,Sit wherever you like.,Sit wherever you want. Sit wherever you want. Sit wherever you want.,Sit wherever you want.,Sit wherever you want.,Sit wherever you like.
46736,64620,I want money.,I want money. I want money.,I want money.,I want money. I want money.,I want money.
46799,64693,Welcome home.,Welcome home.,Welcome home. Welcome home.,Welcome home. Welcome home.,Welcome home.
46985,64918,"Good morning, Mike.","Good morning, Mike.","Good morning, Mike.","Good morning, Mike.","Good morning, Mike."
47531,65501,My family goes skiing every winter.,My family goes skiing every winter. My family skis every winter.,My family is going skiing every winter.,My parents go skiing every winter.,My family goes skiing every winter.
47918,65909,It's too late now.,It's too late now.,It's too late now.,It's too late.,It's too late now.
47926,65918,I am coming.,I'm coming. I'm coming.,I'm coming.,I'm coming. I'm coming.,I'm leaving now.
48043,66043,When did you get back from London?,When did you get back from London?,When did you get back from London?,When did you get back from London?,When did you get back from London?
48608,66664,Jesus wept.,Jesus was crying.,Jesus cried.,Jesus wept.,Jesus wept.
48699,66762,Happy Easter!,Happy Easter!,Happy Easter. Happy Easter! Happy Easter!,Happy Easter.,Happy Easter! ▪ Christ has been resurrected!
48916,66989,What's that?,What is this?,What's that?,What's that?,What is this?
49048,67124,Is that a bat?,Is that a bat?,Is that a bat?,Is that a bat?,Is that a bat?
49050,67126,That is mine.,It's mine. ♪ It's mine. ♪ It's mine. ♪ It's mine. ♪ It's mine. ♪ It's mine. ♪ It's mine. ♪ It's mine. ♪ It's mine. ♪ It's mine. ♪ It's mine.,That's mine.,It's mine. It's mine.,That's mine.
49262,67345,Alice smiled.,Alice smiled.,Alice smiled.,Alice smiled.,Alice smiled.
50014,68134,Do you know if he has a girlfriend?,You don't know if he has a girlfriend? You don't know if he has a girlfriend? You don't know if he has a girlfriend?,Do you know if he has a girlfriend?,Do you know if he has a girlfriend?,Do you know if he has a girlfriend?
50417,68547,The house is haunted.,There are ghosts in this house.,The house is haunted. The house is haunted.,The house is haunted.,There are ghosts in this house.
50430,68563,Look at that smoke.,Look at that smoke. ♪ Look at that smoke. ♪ Look at that smoke. ♪ Look at that smoke. ♪ Look at that smoke.,Look at that smoke.,Look at that smoke.,Look at that smoke.
50752,68908,Are you free tomorrow?,Are you free tomorrow? Are you free tomorrow? Are you free tomorrow? Are you free tomorrow?,Are you free tomorrow?,Are you free tomorrow?,Are you free tomorrow?
50779,68937,I admire you.,I love you. ♪ I admire you. ♪ I admire you. ♪ I admire you. ♪ I admire you.,I admire you.,I admire you.,I admire you.
50789,68948,Are you busy?,Are you busy? Are you busy? Are you busy?,Are you busy? are you busy? are you busy? are you busy? are you busy? are you busy? are you busy?,Are you busy? Are you busy?,Are you busy?
50795,68954,Are you studying?,Are you studying? Are you studying?,Are you studying? are you studying? are you studying? are you studying? are you studying? are you studying?,Are you working?,Are you studying?
50871,69044,Do you know where he lives?,Do you know where he lives? ♪ Do you know where he lives? ♪ Do you know where he lives?,Do you know where he lives?,Do you know where he lives?,Do you know where he lives?
51020,69205,Do you get along with your boss?,Are you in a good relationship with your boss?,Do you get along with your boss?,Do you get along with your boss?,Do you have a good relationship with your boss?
51214,69421,Have you ever seen a whale?,Have you ever seen a whale? ♪ Have you ever seen a whale? ♪ Have you ever seen a whale?,Have you ever seen a whale?,Have you ever seen a whale?,Have you ever seen a whale?
