,index,english,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german
14575,30126,Drive slowly.,"Drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive",Drive slowly.,"Drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly, drive slowly.",Drive slowly.
14751,30316,Hi! How are you?,"Hey, how are you?","Hello, how are you?","Hey, how are you?","Hello, how are you?"
14824,30397,Louder.,Louder! Louder! Louder! Louder!,"Louder, louder, louder.",Stronger.,Loud.
14826,30399,"Louder, please.","Louder, please. Louder, please. Louder, please. Louder, please. Louder. Louder, please.","Harder, please.. Harder, please.","Stronger, please.","Louder, please."
14958,30542,Definitely!,"Sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure, sure.",Of course!,Of course!,Definitely!
15238,30835,I wouldn't do that if I were you.,I wouldn't do that if I were you.,I wouldn't do that if I were you.,"I wouldn't do it if I were you, but I wouldn't if I were you.","If I were you, I wouldn't do it. If I were you, I wouldn't do it. If I were you, I wouldn't do it. If I were you, I wouldn't do it. If I were you, I wouldn't do it. If I were you, I wouldn't do it. If I were you, I wouldn't do it. If I were you, I wouldn't do it. I wouldn't do it."
15358,30970,Are you there?,Are you there?,Are you there?,Are you there?! - Are you there? - Are you there?,Are you there?
15690,31334,Time is up.,Time's up.,Time's up.,"Time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up, time's up.",Time's up.
15703,31348,We have no time.,We don't have time.,We don't have time.,We don't have time.,We don't have time.
15728,31380,I have to leave now.,I have to go now.,I have to go now.,"I've got to go now, I have to go now, I have to go now, I have to go now, I have to go now.",I have to go now. I have to go now. I have to go now.
15737,31390,"No, thank you.","No, thank you.","No, thank you.","No, thank you.","No, thank you."
15814,31476,"Could you repeat that, please?",Can you repeat that?,Can you repeat that?,"Can you repeat that, please?",Could you please repeat that? - Could you please say that again? - Can you please say that again? - Can you please repeat that? - Could you please repeat that?
15855,31522,Please show me another one.,Can you show me another one?,Could you show me something else?,"Please show me another one, please show me another one, please show me another one, please show me another one, please show me another one, please show me another one, please show me another one, please show me another one.",Please show me another one. Please show me another one.
16000,31683,It's already seven.,It's seven o'clock already.,It's already seven o'clock.,It's seven o'clock already.,It's already at seven.
16038,31723,Try again.,Try again. Try again.,Try again.? Try again. 。 Try again。 Try again。 Try again。 Try again。 Try again。 Try again。,"Try again, try again, try again, try again.","Try it again, try it again, try it again, try it again."
16201,31892,Mary is tall.,Maria's big.,Mari's tall.,Mary is great.,Mary is tall.
16209,31900,Mary understands Chinese.,Maria understands Chinese.,Mari understands Chinese.,Mary understands Chinese.,Mary understands Chinese.
16216,31907,Mary ran.,Maria ran. Maria was running.,Mari ran.,Marie ran.,Mary ran............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
16371,32071,You're disgusting!,You're disgusting!,You're disgusting!,You're disgusting!,You're disgusting!
16803,32527,I agree completely.,I totally agree. I totally agree. I totally agree.,I fully agree with that.,I totally agree.,I totally agree.
16844,32569,I don't know yet.,I don't know yet.,I don't know yet.,I don't know yet.,I don't know yet.
16903,32635,See you again.,Bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye-bye.,"See you later, see you later. See you later.",Goodbye!,"Good-bye, see you again."
16937,32672,See you soon!,Good-bye! Good-bye! Good-bye! Good-bye! Good-bye! Good-bye! Good-bye! Good-bye!,I'll see you soon!,"See you soon!, see you soon!, see you soon!, see you soon!",See you soon!
17093,32841,A friend in need is a friend indeed.,In need one gets to know one's friends.,"In distress, a friend is known.. In distress, a friend is known.","A friend in need, however, is a friend.: A friend in need is really a friend.: The true friend is the friend of difficult times.: We recognize his true friends in need.: it is in misfortune that we recognize his friends.: we recognize his true friends in misery.: it is in misfortune that we recognize his friends.: it is in misfortune that we discover his true friends.: it is in adversity that true friends are revealed.: it is in need that we recognize his friends.",True friends can be recognized in need. - Friends in need go a thousand on a lot. - In need one recognizes the true friend. - Friends can be recognized in need.
17588,33354,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a cab to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel. Take a taxi to the hotel! Take a taxi to the hotel.
17763,33536,I don't like coffee.,I don't like coffee.,I don't like coffee. I don't like coffee.,"I don't like coffee, I don't like coffee.",I don't like coffee.
17933,33712,I feel homesick.,"I'm homesick, I'm homesick.",I'm homesick.,I'm hurting my country.,I'm homesick.
17991,33771,Do you have a pen?,Do you have a pen? Do you have a pen?,Do you have a pen?,Do you have a pen?: Do you have a pen?: Do you have a pen?,Do you have a pen? Do you have a pen? Do you have a pen with you?
18223,34011,Do your best.,Do your best.,Do your best.,"Do your best, do your best, do your best, do your best, do your best.",Do the best you can. Do the best you can!
18989,34819,It's brand new.,It's brand new. It's completely new. It's brand new.,It's brand-new.,"It's brand new, it's brand new, it's brand new.",It's brand new. It's brand new. It's brand new. It's brand new.
19015,34846,"Two beers, please.","Two beers, please.","Two beers, please.","Two beers, please. Two beers, please!","Two beers, please!"
19153,34991,Do you like playing volleyball?,Do you like volleyballs? Do you like volleyballs? Do you like volleyballs?,Do you like to play volleyball?,Do you like to play volleyball?What do you like to play volleyball?,Do you like to play volleyball? Do you like to play volleyball? Do you like to play volleyball?
19253,35096,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet? Who wrote Hamlet?
19520,35385,Let's take a bus.,Let's get a bus.,Let's take the bus.,Let's take a bus.,"Come on, let's take the bus."
19601,35471,Fill the bucket with water.,Fill the bucket with water.,Fill the bucket with water.,Fill the bucket with water!!!!Pop the bucket with water!!Pop the bucket with water!!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!Pop the bucket with water!,Fill the bucket with water.
19616,35489,Don't talk nonsense!,Don't bullshit me!,Don't talk nonsense!. Don't talk nonsense!,Don't say anything!,Don't talk nonsense!
